Epoch time,Latitude,Longitude,Air Quality PM 2.5 (ug/m3),Radiation (cps)
1637188406.9076884,37.875755,-122.25889,4.0,31.6
1637188413.6155884,37.87576,-122.2589,4.0,30.4
1637188420.3349445,37.875763333,-122.258895,4.0,33.2
1637188427.1135063,37.87577,-122.258906667,4.0,30.0
1637188434.065588,37.875788333,-122.258958333,4.0,29.6
1637188440.6440666,37.875841667,-122.258985,5.0,32.6
1637188447.6492078,37.87595,-122.259026667,6.5,24.2
1637188454.3481693,37.876006667,-122.259023333,7.0,31.0
1637188461.1988425,37.876026667,-122.259016667,6.0,27.4
1637188468.3411238,37.876046667,-122.25902,7.0,26.2
1637188475.3066752,37.87605,-122.25903,6.0,32.8
1637188482.6282854,37.87603,-122.25905,6.0,29.0
1637188489.793255,37.876026667,-122.259056667,4.0,28.2
1637188496.7779593,37.876026667,-122.259061667,4.0,33.6
1637188504.1970053,37.876018333,-122.259083333,5.0,26.4
1637188511.194105,37.876016667,-122.25909,5.0,33.2
1637188518.5065882,37.876008333,-122.258998333,5.0,24.8
1637188525.648228,37.876005,-122.258925,4.0,27.2
1637188533.163417,37.87598,-122.258796667,4.0,27.8
1637188540.3720055,37.876018333,-122.25874,4.0,27.4
1637188547.965223,37.876038333,-122.258671667,4.5,29.0
1637188555.2510474,37.876055,-122.258645,5.0,22.6
1637188563.035903,37.876041667,-122.258638333,5.0,23.8
1637188570.3340461,37.876036667,-122.258628333,5.0,27.8
1637188577.9700184,37.876035,-122.25861,5.0,21.0
1637188585.5005696,37.876028333,-122.258605,5.0,29.2
1637188593.2369955,37.875968333,-122.258643333,5.0,25.0
1637188600.9388554,37.875956667,-122.258646667,4.5,24.6
1637188608.7275214,37.87596,-122.258635,4.0,31.0
1637188616.4873607,37.876013333,-122.258588333,4.0,23.0
1637188624.465078,37.876105,-122.258488333,4.0,25.8
1637188632.3267674,37.876133333,-122.258406667,4.0,24.2
1637188640.218636,37.87614,-122.258396667,4.0,24.0
1637188648.3106086,37.876186667,-122.258415,4.0,22.4
1637188656.16963,37.876203333,-122.258418333,4.0,25.6
1637188664.285998,37.87628,-122.258436667,4.0,25.4
1637188672.4963584,37.876283333,-122.258428333,4.0,26.6
1637188680.4605353,37.876281667,-122.258426667,4.5,26.4
1637188688.631619,37.876285,-122.25842,4.5,26.4
1637188696.8296523,37.876286667,-122.258411667,4.0,28.8
1637188704.7739086,37.876296667,-122.258401667,4.0,25.2
1637188713.125957,37.876311667,-122.258396667,4.0,23.8
1637188721.2021916,37.876313333,-122.258398333,4.0,21.6
1637188729.670319,37.876315,-122.25841,4.0,23.8
1637188738.0946193,37.87633,-122.258415,4.0,26.8
1637188746.387942,37.876333333,-122.258425,4.0,25.4
1637188755.026344,37.876336667,-122.258426667,4.0,26.4
1637188763.7882123,37.876338333,-122.258411667,4.0,21.2
1637188772.3712356,37.876363333,-122.258426667,3.0,27.2
1637188781.0468686,37.876396667,-122.258416667,4.0,33.0
1637188789.7756197,37.876431667,-122.25843,4.0,37.4
1637188798.5679543,37.876578333,-122.25849,4.0,40.6
1637188807.1451268,37.876656667,-122.258495,4.0,37.8
1637188816.0036576,37.876695,-122.258511667,4.0,29.0
1637188824.956729,37.876783333,-122.258516667,4.0,24.6
1637188834.001627,37.876851667,-122.2585,4.0,28.4
1637188843.0419116,37.876821667,-122.258541667,4.0,27.0
1637188851.9431734,37.876805,-122.258548333,4.0,34.4
1637188860.9845963,37.876808333,-122.258553333,4.0,27.8
1637188870.0162852,37.876818333,-122.258548333,4.0,30.2
1637188879.198243,37.876818333,-122.258533333,4.0,35.2
1637188888.6958244,37.876835,-122.258491667,4.0,28.6
1637188898.0607045,37.87685,-122.258483333,4.0,29.6
1637188907.3913267,37.876861667,-122.258471667,4.0,31.4
1637188916.617849,37.876865,-122.25848,4.0,31.4
1637188925.8481987,37.876831667,-122.258495,4.0,34.0
1637188935.328355,37.87674,-122.258563333,4.0,30.2
1637188944.9327617,37.876721667,-122.258583333,4.0,23.8
1637188954.2302964,37.876758333,-122.258648333,4.0,21.8
1637188963.7054121,37.87683,-122.258666667,4.0,21.8
1637188973.1805115,37.876908333,-122.258686667,4.0,22.4
1637188982.6807103,37.877011667,-122.2587,4.0,18.4
1637188992.312147,37.877121667,-122.258605,4.0,25.6
1637189001.762947,37.877128333,-122.258586667,4.0,21.2
1637189011.3097405,37.877171667,-122.258555,4.0,24.4
1637189020.8444722,37.87725,-122.258475,5.0,28.8
1637189030.758871,37.877311667,-122.25839,6.0,27.6
1637189040.529504,37.8774,-122.25832,6.0,29.0
1637189050.4835885,37.877398333,-122.258291667,7.0,24.4
1637189060.3315737,37.877375,-122.258186667,7.0,24.4
1637189070.4498713,37.877383333,-122.258101667,6.0,30.8
1637189080.733275,37.877356667,-122.258035,6.0,25.2
1637189090.9090757,37.877341667,-122.257941667,6.0,31.8
1637189101.0495365,37.877383333,-122.257831667,6.0,34.6
1637189111.1032722,37.877421667,-122.257685,6.0,34.0
1637189121.0221415,37.877441667,-122.257733333,6.0,36.2
1637189131.2218418,37.877461667,-122.257741667,6.0,32.0
1637189141.187733,37.877478333,-122.257775,6.0,32.4
1637189151.3677056,37.877485,-122.257808333,6.0,31.6
1637189161.6710942,37.877395,-122.257896667,5.0,34.0
1637189172.1900115,37.877396667,-122.257805,5.0,34.0
1637189182.5028737,37.877373333,-122.257691667,5.0,30.2
1637189193.1392052,37.877345,-122.257703333,5.0,31.8
1637189203.5413673,37.877336667,-122.257728333,5.0,34.2
1637189213.988116,37.877348333,-122.257728333,5.0,30.2
1637189224.7423635,37.877358333,-122.257728333,5.0,30.0
1637189235.35431,37.877365,-122.257721667,4.0,30.2
1637189246.0966928,37.877371667,-122.257701667,5.0,31.8
1637189257.0873375,37.877385,-122.257688333,5.0,33.8
1637189267.9499865,37.87739,-122.257668333,4.0,32.0
1637189278.8038204,37.877395,-122.257643333,4.0,34.4
1637189289.6750555,37.877395,-122.25765,4.0,33.2
1637189300.3025794,37.877391667,-122.257656667,5.0,34.6
1637189311.2129505,37.877393333,-122.257658333,5.0,34.2
1637189322.268575,37.877381667,-122.257646667,5.0,36.2
1637189333.2759418,37.877376667,-122.257625,5.0,28.2
1637189344.3576586,37.87738,-122.257601667,4.0,32.8
1637189355.3555417,37.877348333,-122.257458333,4.0,33.8
1637189366.4357464,37.877438333,-122.257655,4.0,30.2
1637189378.7159321,37.877458333,-122.257685,4.0,34.2
1637189390.2326055,37.877451667,-122.257721667,4.0,39.2
1637189401.3683603,37.877451667,-122.25773,5.0,32.4
1637189412.6502197,37.877458333,-122.257748333,6.0,34.4
1637189423.961596,37.877465,-122.257755,6.0,39.2
1637189435.046944,37.877466667,-122.25777,5.0,30.0
1637189446.2683964,37.877466667,-122.257776667,4.0,37.6
1637189457.7987309,37.877438333,-122.257843333,4.0,33.6
1637189470.1141944,37.877391667,-122.257936667,4.0,29.6
1637189481.4227524,37.877321667,-122.258056667,4.0,28.6
1637189492.950299,37.877276667,-122.258245,4.0,25.2
1637189504.6107512,37.877265,-122.258355,5.0,28.8
1637189515.957329,37.877236667,-122.258485,5.0,25.2
1637189527.8372774,37.877243333,-122.258681667,5.0,23.0
1637189539.9925394,37.877143333,-122.25876,5.0,23.4
1637189551.4603925,37.877066667,-122.258798333,5.0,21.6
1637189563.466167,37.876921667,-122.258765,5.0,27.0
1637189575.154965,37.876851667,-122.258723333,5.0,28.0
1637189586.4543948,37.876808333,-122.258688333,4.5,27.8
1637189598.605666,37.876693333,-122.25865,4.0,24.8
1637189610.4874654,37.876596667,-122.258665,5.0,21.6
1637189623.0684154,37.876401667,-122.258648333,5.0,25.8
1637189635.409697,37.876281667,-122.258565,5.0,25.4
1637189647.5130775,37.87612,-122.258515,5.0,24.8
1637189660.258274,37.876025,-122.258493333,5.0,23.2
1637189672.5955687,37.876001667,-122.258516667,5.0,21.6
1637189685.2906666,37.876026667,-122.258541667,5.0,14.8
